Date,Consumption
2019-07-01,52592.11227
2019-06-01,56075.71803
2019-05-01,44210.21131
2019-04-01,40065.17496
2019-03-01,33449.0531
2019-02-01,44077.71694
2019-01-01,45051.03176
2018-12-01,55885.46208
2018-11-01,55713.7834
2018-10-01,51806.01313
2018-09-01,48473.66103
2018-08-01,53987.38728
2018-07-01,63810.03332
2018-06-01,63893.59405
2018-05-01,56153.6289
2018-04-01,47355.58832
2018-03-01,40603.16071
2018-02-01,44562.37569
2018-01-01,45897.34012
2017-12-01,64960.30404
2017-11-01,58538.01612
2017-10-01,51012.53526
2017-09-01,50098.85187
2017-08-01,54780.29115
2017-07-01,65882.62642
2017-06-01,69881.80096
2017-05-01,58919.96541
2017-04-01,50951.90345
2017-03-01,44358.06955
2017-02-01,48925.1434
2017-01-01,48048.39985
2016-12-01,63595.44938
2016-11-01,65006.4251
2016-10-01,48179.2027
2016-09-01,54621.44483
2016-08-01,62385.2158
2016-07-01,73889.93048
2016-06-01,74236.72809
2016-05-01,63250.41397
2016-04-01,45081.93477
2016-03-01,39158.96326
2016-02-01,39948.14544
2016-01-01,50661.45048
2015-12-01,62134.63144
2015-11-01,50164.63521
2015-10-01,48879.38443
2015-09-01,53557.0176
2015-08-01,64681.56081
2015-07-01,73678.05617
2015-06-01,76451.69587
2015-05-01,68866.97127
2015-04-01,57059.57753
2015-03-01,48449.00205
2015-02-01,58271.96727
2015-01-01,67061.00472
2014-12-01,71323.20976
2014-11-01,67638.40032
2014-10-01,64495.22294
2014-09-01,60947.47959
2014-08-01,68916.4298
2014-07-01,80862.59969
2014-06-01,81286.53629
2014-05-01,74123.22207
2014-04-01,63862.69427
2014-03-01,57935.69221
2014-02-01,71999.58118
2014-01-01,76036.27291
2013-12-01,83497.72822
2013-11-01,77070.85697
2013-10-01,65763.24144
2013-09-01,66107.47006
2013-08-01,72501.06553
2013-07-01,81737.47096
2013-06-01,82966.15722
2013-05-01,74816.50902
2013-04-01,64444.086
2013-03-01,60584.10961
2013-02-01,70219.09377
2013-01-01,66919.43164
2012-12-01,74832.28114
2012-11-01,73009.118
2012-10-01,69739.509
2012-09-01,66342.727
2012-08-01,69308.876
2012-07-01,82483.922
2012-06-01,86282.875
2012-05-01,71479.723
2012-04-01,62647.842
2012-03-01,51592.948
2012-02-01,57265.685
2012-01-01,62804.099
2011-12-01,70594.167
2011-11-01,73359.437
2011-10-01,66918.654
2011-09-01,69458.238
2011-08-01,76568.826
2011-07-01,92012
2011-06-01,94037.255
2011-05-01,83908.422
2011-04-01,73337.898
2011-03-01,66930.215
2011-02-01,72458.269
2011-01-01,73473.628
2010-12-01,90021.243
2010-11-01,88189.2
2010-10-01,72514.14
2010-09-01,70491.949
2010-08-01,79176.234
2010-07-01,94247.185
2010-06-01,94519.317
2010-05-01,87030.384
2010-04-01,75596.599
2010-03-01,66842.476
2010-02-01,76109.809
2010-01-01,79883.567
2009-12-01,90451.63
2009-11-01,88255.453
2009-10-01,73063.19
2009-09-01,74519.745
2009-08-01,73566.457
2009-07-01,86634.915
2009-06-01,84243.159
2009-05-01,78953.662
2009-04-01,70425.024
2009-03-01,67123.335
2009-02-01,71947.993
2009-01-01,74254.1
2008-12-01,90639.918
2008-11-01,89259.461
2008-10-01,80883.436
2008-09-01,79982.376
2008-08-01,85375.742
2008-07-01,95589.857
2008-06-01,98032.298
2008-05-01,89347.251
2008-04-01,81055.86
2008-03-01,76753.165
2008-02-01,83215.395
2008-01-01,86625.885
2007-12-01,94459.363
