MSN,YYYYMM,Value,Column_Order,Description,Unit
ELEGPUS,197301,159.913,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197302,143.257,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197303,147.847,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197304,139.292,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197305,147.088,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197306,160.945,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197307,173.467,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197308,177.109,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197309,156.651,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197310,153.954,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197311,147.881,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197312,153.307,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197313,1860.71,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197401,157.254,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197402,142.474,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197403,150.048,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197404,142.021,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197405,153.513,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197406,156.161,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197407,177.992,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197408,173.879,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197409,152.239,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197410,151.978,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197411,149.844,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197412,159.737,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197413,1867.14,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197501,164.325,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197502,147.084,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197503,155.481,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197504,146.217,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197505,153.231,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197506,162.442,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197507,176.816,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197508,179.714,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197509,155.223,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197510,154.949,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197511,152.795,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197512,169.372,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197513,1917.649,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197601,178.329,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197602,156.684,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197603,164.174,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197604,153.167,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197605,157.37,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197606,173.392,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197607,186.434,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197608,186.403,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197609,165.035,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197610,163.746,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197611,169.085,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197612,183.877,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197613,2037.696,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197701,196.372,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197702,162.734,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197703,169.157,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197704,156.853,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197705,169.332,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197706,180.787,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197707,198.93,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197708,196.126,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197709,176.265,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197710,166.402,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197711,167.099,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197712,184.267,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197713,2124.323,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197801,197.835,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
